sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,cu_pct,mo_pct,au_gt
SE-C01-001-A0001,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,0.000000000,2.000000000,2.000000000,0.020617299,0.000000000,0.000000000
SE-C01-001-A0002,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,2.000000000,4.000000000,2.000000000,0.024512946,0.000000000,0.000000000
SE-C01-001-A0003,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,4.000000000,6.000000000,2.000000000,0.022745332,0.000000000,0.000000000
SE-C01-001-A0004,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,6.000000000,8.000000000,2.000000000,0.020093853,0.000000000,0.000000000
SE-C01-001-A0005,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,8.000000000,10.000000000,2.000000000,0.022655245,0.000000000,0.000000000
SE-C01-001-A0006,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,10.000000000,12.000000000,2.000000000,0.019688979,0.000000000,0.000000000
SE-C01-001-A0007,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,12.000000000,14.000000000,2.000000000,0.020453467,0.000000000,0.000000000
SE-C01-001-A0008,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,14.000000000,16.000000000,2.000000000,0.020787666,0.000000000,0.000000000
SE-C01-001-A0009,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,16.000000000,18.000000000,2.000000000,0.021078307,0.000000000,0.000000000
SE-C01-001-A0010,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,18.000000000,20.000000000,2.000000000,0.024054521,0.000000000,0.000000000
SE-C01-001-A0011,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,20.000000000,22.000000000,2.000000000,0.022696294,0.000000000,0.000000000
SE-C01-001-A0012,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,22.000000000,24.000000000,2.000000000,0.021162341,0.000000000,0.000000000
SE-C01-001-A0013,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,24.000000000,26.000000000,2.000000000,0.019272705,0.000000000,0.000000000
SE-C01-001-A0014,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,26.000000000,28.000000000,2.000000000,0.023501062,0.000000000,0.000000000
SE-C01-001-A0015,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,28.000000000,30.000000000,2.000000000,0.021803909,0.000000000,0.000000000
SE-C01-001-A0016,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,30.000000000,32.000000000,2.000000000,0.025008406,0.000000000,0.000000000
SE-C01-001-A0017,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,32.000000000,34.000000000,2.000000000,0.022560443,0.000000000,0.000000000
SE-C01-001-A0018,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,34.000000000,36.000000000,2.000000000,0.019541079,0.000000000,0.000000000
SE-C01-001-A0019,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,36.000000000,38.000000000,2.000000000,0.021425848,0.000000000,0.000000000
SE-C01-001-A0020,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,38.000000000,40.000000000,2.000000000,0.021936572,0.000000000,0.000000000
SE-C01-001-A0021,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,40.000000000,42.000000000,2.000000000,0.021580151,0.000000000,0.000000000
SE-C01-001-A0022,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,42.000000000,44.000000000,2.000000000,0.023777012,0.000000000,0.000000000
SE-C01-001-A0023,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,44.000000000,46.000000000,2.000000000,0.023160719,0.000000000,0.000000000
SE-C01-001-A0024,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,46.000000000,48.000000000,2.000000000,0.022155686,0.000000000,0.000000000
SE-C01-001-A0025,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,48.000000000,50.000000000,2.000000000,0.023779515,0.000000000,0.000000000
SE-C01-001-A0026,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,50.000000000,52.000000000,2.000000000,0.022264991,0.000000000,0.000000000
SE-C01-001-A0027,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,52.000000000,54.000000000,2.000000000,0.023621710,0.000000000,0.000000000
SE-C01-001-A0028,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,54.000000000,56.000000000,2.000000000,0.020587368,0.000000000,0.000000000
SE-C01-001-A0029,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,56.000000000,58.000000000,2.000000000,0.024431182,0.000000000,0.000000000
SE-C01-001-A0030,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,58.000000000,60.000000000,2.000000000,0.024433902,0.000000000,0.000000000
SE-C01-001-A0031,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,60.000000000,62.000000000,2.000000000,0.023693896,0.000000000,0.000000000
SE-C01-001-A0032,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,62.000000000,64.000000000,2.000000000,0.024567538,0.000000000,0.000000000
SE-C01-001-A0033,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,64.000000000,66.000000000,2.000000000,0.023268230,0.000000000,0.000000000
SE-C01-001-A0034,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,66.000000000,68.000000000,2.000000000,0.022502949,0.000000000,0.000000000
SE-C01-001-A0035,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,68.000000000,70.000000000,2.000000000,0.023760184,0.000000000,0.000000000
SE-C01-001-A0036,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,70.000000000,72.000000000,2.000000000,0.022859637,0.000000000,0.000000000
SE-C01-001-A0037,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,72.000000000,74.000000000,2.000000000,0.023937124,0.000000000,0.000000000
SE-C01-001-A0038,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,74.000000000,76.000000000,2.000000000,0.019490130,0.000000000,0.000000000
SE-C01-001-A0039,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,76.000000000,78.000000000,2.000000000,0.022849414,0.000000000,0.000000000
SE-C01-001-A0040,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,78.000000000,80.000000000,2.000000000,0.024220183,0.000000000,0.000000000
SE-C01-001-A0041,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,80.000000000,82.000000000,2.000000000,0.021733276,0.000000000,0.000000000
SE-C01-001-A0042,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,82.000000000,84.000000000,2.000000000,0.023379243,0.000000000,0.000000000
SE-C01-001-A0043,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,84.000000000,86.000000000,2.000000000,0.023415984,0.000000000,0.000000000
SE-C01-001-A0044,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,86.000000000,88.000000000,2.000000000,0.021038485,0.000000000,0.000000000
SE-C01-001-A0045,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,88.000000000,90.000000000,2.000000000,0.026433723,0.000000000,0.000000000
SE-C01-001-A0046,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,90.000000000,92.000000000,2.000000000,0.028905433,0.000000000,0.000000000
SE-C01-001-A0047,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,92.000000000,94.000000000,2.000000000,0.025090183,0.000000000,0.000000000
SE-C01-001-A0048,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,94.000000000,96.000000000,2.000000000,0.025065201,0.000000000,0.000000000
SE-C01-001-A0049,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,96.000000000,98.000000000,2.000000000,0.019831826,0.000000000,0.000000000
SE-C01-001-A0050,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,98.000000000,100.000000000,2.000000000,0.022635168,0.000000000,0.000000000
SE-C01-001-A0051,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,100.000000000,102.000000000,2.000000000,0.023355425,0.000000000,0.000000000
SE-C01-001-A0052,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,102.000000000,104.000000000,2.000000000,0.025124137,0.000000000,0.000000000
SE-C01-001-A0053,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,104.000000000,106.000000000,2.000000000,0.026337254,0.000000000,0.000000000
SE-C01-001-A0054,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,106.000000000,108.000000000,2.000000000,0.023736650,0.000000000,0.000000000
SE-C01-001-A0055,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,108.000000000,110.000000000,2.000000000,0.026552438,0.000000000,0.000000000
SE-C01-001-A0056,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,110.000000000,112.000000000,2.000000000,0.024264489,0.000000000,0.000000000
SE-C01-001-A0057,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,112.000000000,114.000000000,2.000000000,0.023663593,0.000000000,0.000000000
SE-C01-001-A0058,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,114.000000000,116.000000000,2.000000000,0.024170099,0.000000000,0.000000000
SE-C01-001-A0059,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,116.000000000,118.000000000,2.000000000,0.026496113,0.000000000,0.000000000
SE-C01-001-A0060,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,118.000000000,120.000000000,2.000000000,0.028354021,0.000000000,0.000000000
SE-C01-001-A0061,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,120.000000000,122.000000000,2.000000000,0.026602659,0.000000000,0.000000000
SE-C01-001-A0062,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,122.000000000,124.000000000,2.000000000,0.022446380,0.000000000,0.000000000
SE-C01-001-A0063,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,124.000000000,126.000000000,2.000000000,0.024694238,0.000000000,0.000000000
SE-C01-001-A0064,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,126.000000000,128.000000000,2.000000000,0.024782022,0.000000000,0.000000000
SE-C01-001-A0065,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,128.000000000,130.000000000,2.000000000,0.024073960,0.000000000,0.000000000
