hole_id,dataset_id,project_id,campaign_id,x,y,z,azimuth_deg,dip_deg,final_depth_m
SE-C01-001,DS05,santa_elena,CAMPAIGN_01,242228.128433536,8196381.405805317,3272.000000000,60.710593137,-81.341595291,210.000000000
SE-C01-002,DS05,santa_elena,CAMPAIGN_01,242444.786139199,8196343.203206230,3312.000000000,32.166345822,-84.000000000,235.537692269
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,242661.443844861,8196305.000607143,3392.000000000,347.833654178,-84.000000000,315.099443898
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,242878.101550524,8196266.798008056,3532.000000000,319.289406863,-84.000000000,455.037201042
SE-C01-005,DS05,santa_elena,CAMPAIGN_01,242259.385105516,8196558.671200859,3226.000000000,84.744881299,-79.688237246,210.000000000
SE-C01-006,DS05,santa_elena,CAMPAIGN_01,242476.042811179,8196520.468601773,3292.000000000,60.710593137,-84.000000000,214.866317557
SE-C01-007,DS05,santa_elena,CAMPAIGN_01,242692.700516841,8196482.266002686,3364.000000000,319.289406862,-84.000000000,286.471894024
SE-C01-008,DS05,santa_elena,CAMPAIGN_01,242909.358222504,8196444.063403599,3530.000000000,295.255118702,-84.000000000,452.607426132
SE-C01-009,DS05,santa_elena,CAMPAIGN_01,242290.641777496,8196735.936596401,3226.000000000,115.255118702,-79.688237246,210.000000000
SE-C01-010,DS05,santa_elena,CAMPAIGN_01,242507.299483159,8196697.733997314,3278.000000000,139.289406862,-84.000000000,210.000000000
SE-C01-011,DS05,santa_elena,CAMPAIGN_01,242723.957188821,8196659.531398227,3322.000000000,240.710593137,-84.000000000,244.701974418
SE-C01-012,DS05,santa_elena,CAMPAIGN_01,242940.614894484,8196621.328799141,3402.000000000,264.744881299,-84.000000000,325.308623525
SE-C01-013,DS05,santa_elena,CAMPAIGN_01,242321.898449476,8196913.201991944,3194.000000000,139.289406863,-71.024215698,210.000000000
SE-C01-014,DS05,santa_elena,CAMPAIGN_01,242538.556155139,8196874.999392857,3240.000000000,167.833654178,-82.312917446,210.000000000
SE-C01-015,DS05,santa_elena,CAMPAIGN_01,242755.213860801,8196836.796793770,3304.000000000,212.166345822,-84.000000000,227.581517106
SE-C01-016,DS05,santa_elena,CAMPAIGN_01,242971.871566464,8196798.594194683,3416.000000000,240.710593137,-84.000000000,339.672661179
SE-C02-001,DS05,santa_elena,CAMPAIGN_02,242420.141902986,8196520.171174014,3272.000000000,68.781597236,-62.359472784,210.000000000
SE-C02-002,DS05,santa_elena,CAMPAIGN_02,242528.470755818,8196501.069874470,3306.000000000,38.810793743,-76.004577791,229.323199838
SE-C02-003,DS05,santa_elena,CAMPAIGN_02,242636.799608649,8196481.968574927,3344.000000000,341.189206257,-78.438657758,266.390411063
SE-C02-004,DS05,santa_elena,CAMPAIGN_02,242745.128461480,8196462.867275383,3396.000000000,311.218402765,-74.479307033,323.991404975
SE-C02-005,DS05,santa_elena,CAMPAIGN_02,242853.457314312,8196443.765975840,3498.000000000,299.983106522,-73.100666857,432.518300216
SE-C02-006,DS05,santa_elena,CAMPAIGN_02,242437.506720753,8196618.651949315,3272.000000000,100.000000000,-65.874437696,210.000000000
SE-C02-007,DS05,santa_elena,CAMPAIGN_02,242545.835573584,8196599.550649771,3298.000000000,99.999999999,-82.824012551,217.310519693
SE-C02-008,DS05,santa_elena,CAMPAIGN_02,242654.164426416,8196580.449350229,3324.000000000,279.999999999,-83.787576091,243.134176157
SE-C02-009,DS05,santa_elena,CAMPAIGN_02,242762.493279247,8196561.348050685,3366.000000000,280.000000000,-75.000025365,292.254597480
SE-C02-010,DS05,santa_elena,CAMPAIGN_02,242870.822132078,8196542.246751142,3422.000000000,280.000000000,-70.183635160,358.253548236
SE-C02-011,DS05,santa_elena,CAMPAIGN_02,242454.871538520,8196717.132724617,3264.000000000,131.218402765,-60.951022966,210.000000000
SE-C02-012,DS05,santa_elena,CAMPAIGN_02,242563.200391351,8196698.031425073,3286.000000000,161.189206257,-74.272123168,210.000000000
SE-C02-013,DS05,santa_elena,CAMPAIGN_02,242671.529244182,8196678.930125530,3312.000000000,218.810793743,-76.453621663,235.150776396
SE-C02-014,DS05,santa_elena,CAMPAIGN_02,242779.858097014,8196659.828825986,3336.000000000,248.781597236,-70.231868903,266.774744839
SE-C02-015,DS05,santa_elena,CAMPAIGN_02,242888.186949845,8196640.727526443,3366.000000000,260.016893478,-64.583362602,309.075761120
SE-C02-016,DS05,santa_elena,CAMPAIGN_02,242472.236356286,8196815.613499917,3240.000000000,150.477368729,-50.000000000,210.000000000
SE-C02-017,DS05,santa_elena,CAMPAIGN_02,242580.565209118,8196796.512200374,3270.000000000,174.623748751,-60.266313152,210.000000000
SE-C02-018,DS05,santa_elena,CAMPAIGN_02,242688.894061949,8196777.410900831,3274.000000000,205.376251249,-60.966214898,212.409390123
SE-C02-019,DS05,santa_elena,CAMPAIGN_02,242797.222914780,8196758.309601287,3314.000000000,229.522631271,-61.571130198,256.957217801
SE-C02-020,DS05,santa_elena,CAMPAIGN_02,242905.551767612,8196739.208301744,3370.000000000,243.972626615,-61.501763861,320.814050596
SE-C03-001,DS05,santa_elena,CAMPAIGN_03,242420.000000000,8196510.000000000,3274.000000000,50.194428908,-61.188432811,210.000000000
SE-C03-002,DS05,santa_elena,CAMPAIGN_03,242420.000000000,8196670.000000000,3254.000000000,129.805571092,-57.373262293,210.000000000
SE-C03-003,DS05,santa_elena,CAMPAIGN_03,242530.000000000,8196480.000000000,3308.000000000,18.434948823,-61.674240348,244.939990997
SE-C03-004,DS05,santa_elena,CAMPAIGN_03,242530.000000000,8196700.000000000,3282.000000000,161.565051177,-57.688466763,222.482393493
SE-C03-005,DS05,santa_elena,CAMPAIGN_03,242670.000000000,8196480.000000000,3354.000000000,341.565051177,-66.861294435,286.420794465
SE-C03-006,DS05,santa_elena,CAMPAIGN_03,242670.000000000,8196700.000000000,3302.000000000,198.434948823,-60.836341980,239.679223339
SE-C03-007,DS05,santa_elena,CAMPAIGN_03,242780.000000000,8196510.000000000,3396.000000000,309.805571092,-73.519528456,320.310733536
SE-C03-008,DS05,santa_elena,CAMPAIGN_03,242780.000000000,8196670.000000000,3332.000000000,230.194428908,-68.668734164,259.709105536
