density_sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,density_t_m3
SE-C01-001-D0001,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,23.526802912,24.526802912,1.000000000,2.700120180
SE-C01-001-D0002,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,48.526802912,49.526802912,1.000000000,2.712930356
SE-C01-001-D0003,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,73.526802912,74.526802912,1.000000000,2.685737381
SE-C01-001-D0004,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,98.526802912,99.526802912,1.000000000,2.748225288
SE-C01-001-D0005,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,123.526802912,124.526802912,1.000000000,2.704358592
SE-C01-001-D0006,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,148.526802912,149.526802912,1.000000000,2.722853498
SE-C01-001-D0007,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,173.526802912,174.526802912,1.000000000,2.718479295
SE-C01-001-D0008,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,198.526802912,199.526802912,1.000000000,2.714036571
SE-C01-002-D0001,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,19.669051796,20.669051796,1.000000000,2.707174306
SE-C01-002-D0002,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,44.669051796,45.669051796,1.000000000,2.722793807
SE-C01-002-D0003,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,69.669051796,70.669051796,1.000000000,2.706857298
SE-C01-002-D0004,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,94.669051796,95.669051796,1.000000000,2.755217187
SE-C01-002-D0005,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,119.669051796,120.669051796,1.000000000,2.682206912
SE-C01-002-D0006,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,144.669051796,145.669051796,1.000000000,2.698511129
SE-C01-002-D0007,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,169.669051796,170.669051796,1.000000000,2.698085246
SE-C01-002-D0008,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,194.669051796,195.669051796,1.000000000,2.715719054
SE-C01-002-D0009,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,219.669051796,220.669051796,1.000000000,2.721196815
SE-C01-003-D0001,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,12.503672836,13.503672836,1.000000000,2.694851296
SE-C01-003-D0002,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,37.503672836,38.503672836,1.000000000,2.734146895
SE-C01-003-D0003,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,62.503672836,63.503672836,1.000000000,2.732195530
SE-C01-003-D0004,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,87.503672836,88.503672836,1.000000000,2.723776029
SE-C01-003-D0005,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,112.503672836,113.503672836,1.000000000,2.723321148
SE-C01-003-D0006,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,137.503672836,138.503672836,1.000000000,2.709226334
SE-C01-003-D0007,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,162.503672836,163.503672836,1.000000000,2.736348156
SE-C01-003-D0008,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,187.503672836,188.503672836,1.000000000,2.713063695
SE-C01-003-D0009,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,212.503672836,213.503672836,1.000000000,2.719172400
SE-C01-003-D0010,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,237.503672836,238.503672836,1.000000000,2.687473250
SE-C01-003-D0011,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,262.503672836,263.503672836,1.000000000,2.728347110
SE-C01-003-D0012,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,287.503672836,288.503672836,1.000000000,2.732318872
SE-C01-003-D0013,SE-C01-003,DS05,santa_elena,CAMPAIGN_01,312.503672836,313.503672836,1.000000000,2.738410643
SE-C01-004-D0001,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,8.869391357,9.869391357,1.000000000,2.597514349
SE-C01-004-D0002,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,33.869391357,34.869391357,1.000000000,2.713006257
SE-C01-004-D0003,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,58.869391357,59.869391357,1.000000000,2.712872756
SE-C01-004-D0004,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,83.869391357,84.869391357,1.000000000,2.722089963
SE-C01-004-D0005,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,108.869391357,109.869391357,1.000000000,2.706401367
SE-C01-004-D0006,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,133.869391357,134.869391357,1.000000000,2.734389598
SE-C01-004-D0007,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,158.869391357,159.869391357,1.000000000,2.725845058
SE-C01-004-D0008,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,183.869391357,184.869391357,1.000000000,2.719961331
SE-C01-004-D0009,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,208.869391357,209.869391357,1.000000000,2.702881083
SE-C01-004-D0010,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,233.869391357,234.869391357,1.000000000,2.747177794
SE-C01-004-D0011,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,258.869391357,259.869391357,1.000000000,2.707370087
SE-C01-004-D0012,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,283.869391357,284.869391357,1.000000000,2.745663118
SE-C01-004-D0013,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,308.869391357,309.869391357,1.000000000,2.715376073
SE-C01-004-D0014,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,333.869391357,334.869391357,1.000000000,2.722927988
SE-C01-004-D0015,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,358.869391357,359.869391357,1.000000000,2.702616423
SE-C01-004-D0016,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,383.869391357,384.869391357,1.000000000,2.733462775
SE-C01-004-D0017,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,408.869391357,409.869391357,1.000000000,2.758317434
SE-C01-004-D0018,SE-C01-004,DS05,santa_elena,CAMPAIGN_01,433.869391357,434.869391357,1.000000000,2.727813990
SE-C01-005-D0001,SE-C01-005,DS05,santa_elena,CAMPAIGN_01,3.369595712,4.369595712,1.000000000,2.210379085
SE-C01-005-D0002,SE-C01-005,DS05,santa_elena,CAMPAIGN_01,28.369595712,29.369595712,1.000000000,2.689270203
SE-C01-005-D0003,SE-C01-005,DS05,santa_elena,CAMPAIGN_01,53.369595712,54.369595712,1.000000000,2.726468797
SE-C01-005-D0004,SE-C01-005,DS05,santa_elena,CAMPAIGN_01,78.369595712,79.369595712,1.000000000,2.696068145
SE-C01-005-D0005,SE-C01-005,DS05,santa_elena,CAMPAIGN_01,103.369595712,104.369595712,1.000000000,2.722271488
SE-C01-005-D0006,SE-C01-005,DS05,santa_elena,CAMPAIGN_01,128.369595712,129.369595712,1.000000000,2.723120970
