hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,lith_code
SE-C01-001,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-001,DS05,santa_elena,CAMPAIGN_01,9.000000000,210.000000000,201.000000000,VOL
SE-C01-002,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-002,DS05,santa_elena,CAMPAIGN_01,9.000000000,235.537692269,226.537692269,VOL
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,9.000000000,315.099443898,306.099443898,VOL
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,9.000000000,455.037201042,446.037201042,VOL
SE-C01-005,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-005,DS05,santa_elena,CAMPAIGN_01,9.000000000,210.000000000,201.000000000,VOL
SE-C01-006,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-006,DS05,santa_elena,CAMPAIGN_01,9.000000000,214.866317557,205.866317557,POR
SE-C01-007,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-007,DS05,santa_elena,CAMPAIGN_01,9.000000000,36.000000000,27.000000000,VOL
SE-C01-007,DS05,santa_elena,CAMPAIGN_01,36.000000000,286.471894024,250.471894024,POR
SE-C01-008,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-008,DS05,santa_elena,CAMPAIGN_01,9.000000000,452.607426132,443.607426132,VOL
SE-C01-009,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-009,DS05,santa_elena,CAMPAIGN_01,9.000000000,210.000000000,201.000000000,VOL
SE-C01-010,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-010,DS05,santa_elena,CAMPAIGN_01,9.000000000,210.000000000,201.000000000,POR
SE-C01-011,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-011,DS05,santa_elena,CAMPAIGN_01,9.000000000,244.701974418,235.701974418,POR
SE-C01-012,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-012,DS05,santa_elena,CAMPAIGN_01,9.000000000,325.308623525,316.308623525,VOL
SE-C01-013,DS05,santa_elena,CAMPAIGN_01,0.000000000,7.000000000,7.000000000,OVB
SE-C01-013,DS05,santa_elena,CAMPAIGN_01,7.000000000,210.000000000,203.000000000,VOL
SE-C01-014,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-014,DS05,santa_elena,CAMPAIGN_01,9.000000000,210.000000000,201.000000000,VOL
SE-C01-015,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-015,DS05,santa_elena,CAMPAIGN_01,9.000000000,227.581517106,218.581517106,VOL
SE-C01-016,DS05,santa_elena,CAMPAIGN_01,0.000000000,9.000000000,9.000000000,OVB
SE-C01-016,DS05,santa_elena,CAMPAIGN_01,9.000000000,339.672661179,330.672661179,VOL
SE-C02-001,DS05,santa_elena,CAMPAIGN_02,0.000000000,8.000000000,8.000000000,OVB
SE-C02-001,DS05,santa_elena,CAMPAIGN_02,8.000000000,210.000000000,202.000000000,POR
SE-C02-002,DS05,santa_elena,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
SE-C02-002,DS05,santa_elena,CAMPAIGN_02,9.000000000,159.000000000,150.000000000,POR
SE-C02-002,DS05,santa_elena,CAMPAIGN_02,159.000000000,228.000000000,69.000000000,BRX
SE-C02-002,DS05,santa_elena,CAMPAIGN_02,228.000000000,229.323199838,1.323199838,POR
SE-C02-003,DS05,santa_elena,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
SE-C02-003,DS05,santa_elena,CAMPAIGN_02,9.000000000,195.000000000,186.000000000,POR
SE-C02-003,DS05,santa_elena,CAMPAIGN_02,195.000000000,261.000000000,66.000000000,BRX
SE-C02-003,DS05,santa_elena,CAMPAIGN_02,261.000000000,266.390411063,5.390411063,POR
SE-C02-004,DS05,santa_elena,CAMPAIGN_02,0.000000000,11.000000000,11.000000000,OVB
SE-C02-004,DS05,santa_elena,CAMPAIGN_02,11.000000000,85.000000000,74.000000000,VOL
SE-C02-004,DS05,santa_elena,CAMPAIGN_02,85.000000000,323.991404975,238.991404975,POR
SE-C02-005,DS05,santa_elena,CAMPAIGN_02,0.000000000,1.000000000,1.000000000,OVB
SE-C02-005,DS05,santa_elena,CAMPAIGN_02,1.000000000,2.000000000,1.000000000,AIR
SE-C02-005,DS05,santa_elena,CAMPAIGN_02,2.000000000,14.000000000,12.000000000,OVB
SE-C02-005,DS05,santa_elena,CAMPAIGN_02,14.000000000,230.000000000,216.000000000,VOL
SE-C02-005,DS05,santa_elena,CAMPAIGN_02,230.000000000,432.518300216,202.518300216,POR
SE-C02-006,DS05,santa_elena,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
SE-C02-006,DS05,santa_elena,CAMPAIGN_02,10.000000000,210.000000000,200.000000000,POR
SE-C02-007,DS05,santa_elena,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
SE-C02-007,DS05,santa_elena,CAMPAIGN_02,9.000000000,103.000000000,94.000000000,POR
SE-C02-007,DS05,santa_elena,CAMPAIGN_02,103.000000000,217.310519693,114.310519693,BRX
SE-C02-008,DS05,santa_elena,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
SE-C02-008,DS05,santa_elena,CAMPAIGN_02,9.000000000,129.000000000,120.000000000,POR
SE-C02-008,DS05,santa_elena,CAMPAIGN_02,129.000000000,243.134176157,114.134176157,BRX
SE-C02-009,DS05,santa_elena,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
SE-C02-009,DS05,santa_elena,CAMPAIGN_02,9.000000000,39.000000000,30.000000000,VOL
SE-C02-009,DS05,santa_elena,CAMPAIGN_02,39.000000000,292.254597480,253.254597480,POR
SE-C02-010,DS05,santa_elena,CAMPAIGN_02,0.000000000,14.000000000,14.000000000,OVB
SE-C02-010,DS05,santa_elena,CAMPAIGN_02,14.000000000,146.000000000,132.000000000,VOL
SE-C02-010,DS05,santa_elena,CAMPAIGN_02,146.000000000,358.253548236,212.253548236,POR
SE-C02-011,DS05,santa_elena,CAMPAIGN_02,0.000000000,8.000000000,8.000000000,OVB
SE-C02-011,DS05,santa_elena,CAMPAIGN_02,8.000000000,210.000000000,202.000000000,POR
SE-C02-012,DS05,santa_elena,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,OVB
SE-C02-012,DS05,santa_elena,CAMPAIGN_02,7.000000000,141.000000000,134.000000000,POR
SE-C02-012,DS05,santa_elena,CAMPAIGN_02,141.000000000,210.000000000,69.000000000,BRX
SE-C02-013,DS05,santa_elena,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
SE-C02-013,DS05,santa_elena,CAMPAIGN_02,9.000000000,165.000000000,156.000000000,POR
SE-C02-013,DS05,santa_elena,CAMPAIGN_02,165.000000000,233.000000000,68.000000000,BRX
SE-C02-013,DS05,santa_elena,CAMPAIGN_02,233.000000000,235.150776396,2.150776396,POR
SE-C02-014,DS05,santa_elena,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
SE-C02-014,DS05,santa_elena,CAMPAIGN_02,10.000000000,32.000000000,22.000000000,VOL
SE-C02-014,DS05,santa_elena,CAMPAIGN_02,32.000000000,266.774744839,234.774744839,POR
SE-C02-015,DS05,santa_elena,CAMPAIGN_02,0.000000000,1.000000000,1.000000000,OVB
SE-C02-015,DS05,santa_elena,CAMPAIGN_02,1.000000000,2.000000000,1.000000000,AIR
SE-C02-015,DS05,santa_elena,CAMPAIGN_02,2.000000000,19.000000000,17.000000000,OVB
SE-C02-015,DS05,santa_elena,CAMPAIGN_02,19.000000000,117.000000000,98.000000000,VOL
SE-C02-015,DS05,santa_elena,CAMPAIGN_02,117.000000000,309.075761120,192.075761120,POR
SE-C02-016,DS05,santa_elena,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
SE-C02-016,DS05,santa_elena,CAMPAIGN_02,9.000000000,27.000000000,18.000000000,VOL
SE-C02-016,DS05,santa_elena,CAMPAIGN_02,27.000000000,210.000000000,183.000000000,POR
SE-C02-017,DS05,santa_elena,CAMPAIGN_02,0.000000000,8.000000000,8.000000000,OVB
SE-C02-017,DS05,santa_elena,CAMPAIGN_02,8.000000000,11.000000000,3.000000000,VOL
SE-C02-017,DS05,santa_elena,CAMPAIGN_02,11.000000000,210.000000000,199.000000000,POR
SE-C02-018,DS05,santa_elena,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
SE-C02-018,DS05,santa_elena,CAMPAIGN_02,10.000000000,14.000000000,4.000000000,VOL
SE-C02-018,DS05,santa_elena,CAMPAIGN_02,14.000000000,212.409390123,198.409390123,POR
SE-C02-019,DS05,santa_elena,CAMPAIGN_02,0.000000000,13.000000000,13.000000000,OVB
SE-C02-019,DS05,santa_elena,CAMPAIGN_02,13.000000000,73.000000000,60.000000000,VOL
SE-C02-019,DS05,santa_elena,CAMPAIGN_02,73.000000000,256.957217801,183.957217801,POR
SE-C02-020,DS05,santa_elena,CAMPAIGN_02,0.000000000,13.000000000,13.000000000,OVB
SE-C02-020,DS05,santa_elena,CAMPAIGN_02,13.000000000,174.000000000,161.000000000,VOL
SE-C02-020,DS05,santa_elena,CAMPAIGN_02,174.000000000,320.814050596,146.814050596,POR
SE-C03-001,DS05,santa_elena,CAMPAIGN_03,0.000000000,10.000000000,10.000000000,OVB
SE-C03-001,DS05,santa_elena,CAMPAIGN_03,10.000000000,210.000000000,200.000000000,POR
SE-C03-002,DS05,santa_elena,CAMPAIGN_03,0.000000000,8.000000000,8.000000000,OVB
SE-C03-002,DS05,santa_elena,CAMPAIGN_03,8.000000000,210.000000000,202.000000000,POR
SE-C03-003,DS05,santa_elena,CAMPAIGN_03,0.000000000,10.000000000,10.000000000,OVB
SE-C03-003,DS05,santa_elena,CAMPAIGN_03,10.000000000,150.000000000,140.000000000,POR
SE-C03-003,DS05,santa_elena,CAMPAIGN_03,150.000000000,244.939990997,94.939990997,BRX
SE-C03-004,DS05,santa_elena,CAMPAIGN_03,0.000000000,10.000000000,10.000000000,OVB
SE-C03-004,DS05,santa_elena,CAMPAIGN_03,10.000000000,125.000000000,115.000000000,POR
SE-C03-004,DS05,santa_elena,CAMPAIGN_03,125.000000000,222.482393493,97.482393493,BRX
SE-C03-005,DS05,santa_elena,CAMPAIGN_03,0.000000000,10.000000000,10.000000000,OVB
SE-C03-005,DS05,santa_elena,CAMPAIGN_03,10.000000000,22.000000000,12.000000000,VOL
SE-C03-005,DS05,santa_elena,CAMPAIGN_03,22.000000000,187.000000000,165.000000000,POR
SE-C03-005,DS05,santa_elena,CAMPAIGN_03,187.000000000,286.420794465,99.420794465,BRX
